Name,Website,RawText
42nd Field Regiment (Lanark & Renfrew Scottish) RCA Regimental Museum,http://www.renfrewcountymuseums.org/museums/42nd-field-regimental-museum/,"42nd Field Regiment (Lanark & Renfrew Scottish) RCA Regimental Museum
177 VICTORIA STREET
PEMBROKE, Ontario K8A 4K2
Canada
http://www.renfrewcountymuseums.org/museums/42nd-field-regimental-museum/
(613) 588-6166 x263

Notes/Details
Category : Cultural history: Military Library and/or Archive

Read More"
48th Highlanders Museum,http://www.48highlanders.com/04_03.html," 

48th Highlanders Museum
ST. ANDREW'S CHURCH, 75 SIMCOE STREET
TORONTO, Ontario M5J 1W9
Canada
http://www.48highlanders.com/04_03.html
(416) 596-1382

Notes/Details
Category : Cultural history: Military

Read More
50 Centuries Cultures Society Inc.
84-92 MICHAEL'S DRIVE
BIRD COVE, Newfoundland & Labrador A0K 1L0
Canada
http://50centuries.ca/
(709) 247-2011

Notes/Details
Category : Cultural history: Community/Regional

Read More
8th Hussars Museum
66 BROAD STREET
SUSSEX, New Brunswick E4E 5S2
Canada
http://www.8chassociation.com/museum.html
(506) 433-5226

Notes/Details
Category : Cultural history: Military

Read More
A Space Gallery
110 - 401 RICHMOND STREET WEST
TORONTO, Ontario M5V 3A8
Canada
http://www.aspacegallery.org/
(416) 979-9633

Notes/Details
Category : Art gallery

Read More
Aanischaaukamikw Cree Cultural Institute
205, RUE OPEMISKA MESKINO
OUJE-BOUGOUMOU, Quebec G0W 3C0
Canada
https://www.escapelikeneverbefore.com/en/members/aanischaaukamikw-cree-cultural-institute/85/aboriginal-experience/
(418) 745-2444

Notes/Details
Category : Cultural history: Indigenous Library and/or Archive

Read More
Abernethy Nature-Heritage Museum
133 MAIN STREET
ABERNETHY, Saskatchewan S0A 0A0
Canada
https://saskmuseums.org/museums/detail/abernethy-nature-heritage-museum
(306) 333-2202

Notes/Details
Category : Cultural history: Community/Regional

Read More
Acadia University Archives and Special Collections
KIRKCONNELL READING ROOM VAUGHAN MEMORIAL LIBRARY
WOLFVILLE, Nova Scotia B4P 2R6
Canada
https://library.acadiau.ca/archives.html
(902) 585-1011

Notes/Details
Category : Library and/or Archive

Read More
Acadia University Art Gallery
10 Highland Avenue, Wolfville, Nova Scotia, B4P 2R6, Canada
WOLFVILLE, Nova Scotia B4P 2R6
Canada
http://gallery.acadiau.ca/Acadia_Art_Gallery/Welcome.html
(902) 585-1373

Notes/Details
Category : Art gallery

Read More
Acadian House Museum
79 HILL ROAD
WEST CHEZZETCOOK, Nova Scotia B0J 1N0
Canada
https://www.acadiedechezzetcook.ca/
(902) 827-5992

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Historic House

Read More
Acadian Museum of Prince Edward Island
23 MAIN DRIVE
MISCOUCHE, Prince Edward Island C0B 1T0
Canada
https://www.museeacadien.org/
(902) 432-2880

Notes/Details
Category : Cultural history: Community/Regional

Read More"
48th Highlanders Museum,http://www.48highlanders.com/04_03.html,"48th Highlanders Museum
ST. ANDREW'S CHURCH, 75 SIMCOE STREET
TORONTO, Ontario M5J 1W9
Canada
http://www.48highlanders.com/04_03.html
(416) 596-1382

Notes/Details
Category : Cultural history: Military

Read More"
50 Centuries Cultures Society Inc.,http://50centuries.ca/,"50 Centuries Cultures Society Inc.
84-92 MICHAEL'S DRIVE
BIRD COVE, Newfoundland & Labrador A0K 1L0
Canada
http://50centuries.ca/
(709) 247-2011

Notes/Details
Category : Cultural history: Community/Regional

Read More"
8th Hussars Museum,http://www.8chassociation.com/museum.html,"8th Hussars Museum
66 BROAD STREET
SUSSEX, New Brunswick E4E 5S2
Canada
http://www.8chassociation.com/museum.html
(506) 433-5226

Notes/Details
Category : Cultural history: Military

Read More"
A Space Gallery,http://www.aspacegallery.org/,"A Space Gallery
110 - 401 RICHMOND STREET WEST
TORONTO, Ontario M5V 3A8
Canada
http://www.aspacegallery.org/
(416) 979-9633

Notes/Details
Category : Art gallery

Read More"
Aanischaaukamikw Cree Cultural Institute,https://www.escapelikeneverbefore.com/en/members/aanischaaukamikw-cree-cultural-institute/85/aboriginal-experience/,"Aanischaaukamikw Cree Cultural Institute
205, RUE OPEMISKA MESKINO
OUJE-BOUGOUMOU, Quebec G0W 3C0
Canada
https://www.escapelikeneverbefore.com/en/members/aanischaaukamikw-cree-cultural-institute/85/aboriginal-experience/
(418) 745-2444

Notes/Details
Category : Cultural history: Indigenous Library and/or Archive

Read More"
Abernethy Nature-Heritage Museum,https://saskmuseums.org/museums/detail/abernethy-nature-heritage-museum,"Abernethy Nature-Heritage Museum
133 MAIN STREET
ABERNETHY, Saskatchewan S0A 0A0
Canada
https://saskmuseums.org/museums/detail/abernethy-nature-heritage-museum
(306) 333-2202

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Acadia University Archives and Special Collections,https://library.acadiau.ca/archives.html,"Acadia University Archives and Special Collections
KIRKCONNELL READING ROOM VAUGHAN MEMORIAL LIBRARY
WOLFVILLE, Nova Scotia B4P 2R6
Canada
https://library.acadiau.ca/archives.html
(902) 585-1011

Notes/Details
Category : Library and/or Archive

Read More"
Acadia University Art Gallery,http://gallery.acadiau.ca/Acadia_Art_Gallery/Welcome.html,"Acadia University Art Gallery
10 Highland Avenue, Wolfville, Nova Scotia, B4P 2R6, Canada
WOLFVILLE, Nova Scotia B4P 2R6
Canada
http://gallery.acadiau.ca/Acadia_Art_Gallery/Welcome.html
(902) 585-1373

Notes/Details
Category : Art gallery

Read More"
Acadian House Museum,https://www.acadiedechezzetcook.ca/,"Acadian House Museum
79 HILL ROAD
WEST CHEZZETCOOK, Nova Scotia B0J 1N0
Canada
https://www.acadiedechezzetcook.ca/
(902) 827-5992

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Historic House

Read More"
Acadian Museum of Prince Edward Island,https://www.museeacadien.org/,"Acadian Museum of Prince Edward Island
23 MAIN DRIVE
MISCOUCHE, Prince Edward Island C0B 1T0
Canada
https://www.museeacadien.org/
(902) 432-2880

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Aceartinc.,https://www.aceart.org/," 

Aceartinc.
208 PRINCESS STREET
WINNIPEG, Manitoba R3B 1L4
Canada
https://www.aceart.org/
(204) 944-9763

Notes/Details
Category : Art gallery

Read More
Adelaide Hunter Hoodless Homestead
359 BLUE LAKE ROAD
ST GEORGE, Ontario N0E 1N0
Canada
http://www.adelaidehoodless.ca/
(519) 448-3873

Notes/Details
Category : Cultural history: Historic House

Read More
Admiral Digby Museum
95 MONTAGUE ROW
DIGBY, Nova Scotia B0V 1A0
Canada
http://admiraldigbymuseum.ca/
(902) 245-6322

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Historic House

Read More
Admiralty House Communications Museum
365 OLD PLACENTIA ROAD
MOUNT PEARL, Newfoundland & Labrador A1N 0G7
Canada
https://www.admiraltymuseum.com/
7097481124

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Historic House

Read More
Aerospace Heritage Foundation of Canada
ETOBICOKE, Ontario M9A 4X2
Canada
https://www.ahfc.org/
(416) 410-3350

Notes/Details
Category : Cultural history: Transportation/Industry

Read More
Africville Heritage Trust Society (Africville Museum)
5795 AFRICVILLE ROAD
HALIFAX, Nova Scotia B3K 2R9
Canada
https://africvillemuseum.org/
(902) 455-6558

Notes/Details
Category : Cultural history: Community/Regional

Read More
Aga Khan Museum
77 WYNFORD DRIVE
TORONTO, Ontario M3C 1K1
Canada
https://www.agakhanmuseum.org/
(416) 646-4677

Notes/Details
Category : Cultural history

Read More
Agassiz Harrison Historical Society Museum
7011 PIONEER STREET
AGASSIZ, British Columbia V0M 1A0
Canada
http://agassizharrisonmuseum.org/
(604) 796-3545

Notes/Details
Category : Cultural history: Community/Regional

Read More
Age of Sail Heritage Museum (Greville Bay Shipbuilding Museum Society)
8334 HIGHWAY 209
PORT GREVILLE, Nova Scotia B0M 1T0
Canada
https://ageofsailmuseum.ca/
(902) 348-2030

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Maritime Cultural history: Transportation/Industry

Read More
Agnes Etherington Art Centre
QUEEN'S UNIVERSITY, 36 UNIVERSITY AVENUE
KINGSTON, Ontario K7L 3N6
Canada
https://agnes.queensu.ca/
(613) 533-2190

Notes/Details
Category : Art gallery

Read More"
Aceartinc.,https://www.aceart.org/,"Aceartinc.
208 PRINCESS STREET
WINNIPEG, Manitoba R3B 1L4
Canada
https://www.aceart.org/
(204) 944-9763

Notes/Details
Category : Art gallery

Read More"
Adelaide Hunter Hoodless Homestead,http://www.adelaidehoodless.ca/,"Adelaide Hunter Hoodless Homestead
359 BLUE LAKE ROAD
ST GEORGE, Ontario N0E 1N0
Canada
http://www.adelaidehoodless.ca/
(519) 448-3873

Notes/Details
Category : Cultural history: Historic House

Read More"
Admiral Digby Museum,http://admiraldigbymuseum.ca/,"Admiral Digby Museum
95 MONTAGUE ROW
DIGBY, Nova Scotia B0V 1A0
Canada
http://admiraldigbymuseum.ca/
(902) 245-6322

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Historic House

Read More"
Admiralty House Communications Museum,https://www.admiraltymuseum.com/,"Admiralty House Communications Museum
365 OLD PLACENTIA ROAD
MOUNT PEARL, Newfoundland & Labrador A1N 0G7
Canada
https://www.admiraltymuseum.com/
7097481124

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Historic House

Read More"
Aerospace Heritage Foundation of Canada,https://www.ahfc.org/,"Aerospace Heritage Foundation of Canada
ETOBICOKE, Ontario M9A 4X2
Canada
https://www.ahfc.org/
(416) 410-3350

Notes/Details
Category : Cultural history: Transportation/Industry

Read More"
Africville Heritage Trust Society (Africville Museum),https://africvillemuseum.org/,"Africville Heritage Trust Society (Africville Museum)
5795 AFRICVILLE ROAD
HALIFAX, Nova Scotia B3K 2R9
Canada
https://africvillemuseum.org/
(902) 455-6558

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Aga Khan Museum,https://www.agakhanmuseum.org/,"Aga Khan Museum
77 WYNFORD DRIVE
TORONTO, Ontario M3C 1K1
Canada
https://www.agakhanmuseum.org/
(416) 646-4677

Notes/Details
Category : Cultural history

Read More"
Agassiz Harrison Historical Society Museum,http://agassizharrisonmuseum.org/,"Agassiz Harrison Historical Society Museum
7011 PIONEER STREET
AGASSIZ, British Columbia V0M 1A0
Canada
http://agassizharrisonmuseum.org/
(604) 796-3545

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Age of Sail Heritage Museum (Greville Bay Shipbuilding Museum Society),https://ageofsailmuseum.ca/,"Age of Sail Heritage Museum (Greville Bay Shipbuilding Museum Society)
8334 HIGHWAY 209
PORT GREVILLE, Nova Scotia B0M 1T0
Canada
https://ageofsailmuseum.ca/
(902) 348-2030

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Maritime Cultural history: Transportation/Industry

Read More"
Agnes Etherington Art Centre,https://agnes.queensu.ca/,"Agnes Etherington Art Centre
QUEEN'S UNIVERSITY, 36 UNIVERSITY AVENUE
KINGSTON, Ontario K7L 3N6
Canada
https://agnes.queensu.ca/
(613) 533-2190

Notes/Details
Category : Art gallery

Read More"
Agnes Jamieson Gallery,https://mindenhills.ca/agnes-jamieson-art-gallery/," 

Agnes Jamieson Gallery
176 BOBCAYGEON ROAD
MINDEN, Ontario K0M 2K0
Canada
https://mindenhills.ca/agnes-jamieson-art-gallery/
(705) 286-3763

Notes/Details
Category : Art gallery: Historic Art gallery: Contemporary

Read More
Agricultural Museum of New Brunswick
28 PERRY STREET
SUSSEX, New Brunswick E4E 2N7
Canada
https://www.agriculturalmuseumnb.com/
(506) 433-6799

Notes/Details
Category : Cultural history: Community/Regional

Read More
AHVA Library Gallery
6398 UNIVERSITY BOULEVARD, ROOM 1001
VANCOUVER, British Columbia V6T 1Z4
Canada
https://ahva.ubc.ca/ahva-gallery-home/
(604) 822-4563

Notes/Details
Category : Art gallery: Contemporary

Read More
Air Defense Museum
6513, CHEMIN SAINT-ANICET
LA BAIE, Quebec G7B 3N8
Canada
https://museebagotville.ca/fr/accueil
(418) 677-7159

Notes/Details
Category : Cultural history: Military Cultural history: Transportation/Industry

Read More
Air Force Heritage Museum and Air Park
186 AIR FORCE WAY
WINNIPEG, Manitoba R3J 3Y5
Canada
https://www.travelmanitoba.com/listings/air-force-heritage-museum-and-air-park/3825/
(204) 833-2500

Notes/Details
Category : Cultural history: Military Cultural history: Transportation/Industry

Read More
Aireum Canadian Broadcast Museum
SUITE LL-1, 1000 YONGE STREET
TORONTO, Ontario M4W 2K2
Canada
http://www.aireum.ca/
(888) 232-7041

Notes/Details
Category : Cultural history

Read More
AKA Artist-Run
424 20TH STREET WEST
SASKATOON, Saskatchewan S7M 0X4
Canada
http://akaartistrun.com/
(306) 652-0044

Notes/Details
Category : Art gallery

Read More
Al Mazur Memorial Heritage Park
JUNCTION OF HIGHWAY 3 & 9
HUDSON BAY, Saskatchewan S0E 0Y0
Canada
http://www.townofhudsonbay.com/default.aspx?page=80
(306) 865-2180

Notes/Details
Category : Cultural history: Community/Regional

Read More
Alberni Valley Museum
4255 WALLACE STREET
PORT ALBERNI, British Columbia V9Y 3Y6
Canada
https://www.portalberni.ca/alberni-valley-museum-0
(250) 720-2863

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Indigenous Cultural history: Transportation/Industry

Read More
Albert County Museum
3940 ROUTE 114
HOPEWELL CAPE, New Brunswick E4H 3J8
Canada
https://www.albertcountymuseum.com/
(506) 734-8102

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Agnes Jamieson Gallery,https://mindenhills.ca/agnes-jamieson-art-gallery/,"Agnes Jamieson Gallery
176 BOBCAYGEON ROAD
MINDEN, Ontario K0M 2K0
Canada
https://mindenhills.ca/agnes-jamieson-art-gallery/
(705) 286-3763

Notes/Details
Category : Art gallery: Historic Art gallery: Contemporary

Read More"
Agricultural Museum of New Brunswick,https://www.agriculturalmuseumnb.com/,"Agricultural Museum of New Brunswick
28 PERRY STREET
SUSSEX, New Brunswick E4E 2N7
Canada
https://www.agriculturalmuseumnb.com/
(506) 433-6799

Notes/Details
Category : Cultural history: Community/Regional

Read More"
AHVA Library Gallery,https://ahva.ubc.ca/ahva-gallery-home/,"AHVA Library Gallery
6398 UNIVERSITY BOULEVARD, ROOM 1001
VANCOUVER, British Columbia V6T 1Z4
Canada
https://ahva.ubc.ca/ahva-gallery-home/
(604) 822-4563

Notes/Details
Category : Art gallery: Contemporary

Read More"
Air Defense Museum,https://museebagotville.ca/fr/accueil,"Air Defense Museum
6513, CHEMIN SAINT-ANICET
LA BAIE, Quebec G7B 3N8
Canada
https://museebagotville.ca/fr/accueil
(418) 677-7159

Notes/Details
Category : Cultural history: Military Cultural history: Transportation/Industry

Read More"
Air Force Heritage Museum and Air Park,https://www.travelmanitoba.com/listings/air-force-heritage-museum-and-air-park/3825/,"Air Force Heritage Museum and Air Park
186 AIR FORCE WAY
WINNIPEG, Manitoba R3J 3Y5
Canada
https://www.travelmanitoba.com/listings/air-force-heritage-museum-and-air-park/3825/
(204) 833-2500

Notes/Details
Category : Cultural history: Military Cultural history: Transportation/Industry

Read More"
Aireum Canadian Broadcast Museum,http://www.aireum.ca/,"Aireum Canadian Broadcast Museum
SUITE LL-1, 1000 YONGE STREET
TORONTO, Ontario M4W 2K2
Canada
http://www.aireum.ca/
(888) 232-7041

Notes/Details
Category : Cultural history

Read More"
AKA Artist-Run,http://akaartistrun.com/,"AKA Artist-Run
424 20TH STREET WEST
SASKATOON, Saskatchewan S7M 0X4
Canada
http://akaartistrun.com/
(306) 652-0044

Notes/Details
Category : Art gallery

Read More"
Al Mazur Memorial Heritage Park,http://www.townofhudsonbay.com/default.aspx?page=80,"Al Mazur Memorial Heritage Park
JUNCTION OF HIGHWAY 3 & 9
HUDSON BAY, Saskatchewan S0E 0Y0
Canada
http://www.townofhudsonbay.com/default.aspx?page=80
(306) 865-2180

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Alberni Valley Museum,https://www.portalberni.ca/alberni-valley-museum-0,"Alberni Valley Museum
4255 WALLACE STREET
PORT ALBERNI, British Columbia V9Y 3Y6
Canada
https://www.portalberni.ca/alberni-valley-museum-0
(250) 720-2863

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Indigenous Cultural history: Transportation/Industry

Read More"
Albert County Museum,https://www.albertcountymuseum.com/,"Albert County Museum
3940 ROUTE 114
HOPEWELL CAPE, New Brunswick E4H 3J8
Canada
https://www.albertcountymuseum.com/
(506) 734-8102

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Alberta Aviation Museum Association,https://www.albertaaviationmuseum.com/," 

Alberta Aviation Museum Association
11410 KINGSWAY NW
EDMONTON, Alberta T5G 0X4
Canada
https://www.albertaaviationmuseum.com/
(780) 451-1175

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Transportation/Industry

Read More
Alberta Beach & District Museum and Archives
5000 47 AVENUE
ALBERTA BEACH, Alberta T0E 0A0
Canada
http://albertabeachmuseum.ca/
(780) 924-2140

Notes/Details
Category : Cultural history: Community/Regional

Read More
Alberta Central Railway Museum
RANGE ROAD 234
WETASKIWIN COUNTY, Alberta T9A 1W9
Canada
https://abcentralrailway.com/
(780) 352-2257

Notes/Details
Category : Cultural history: Transportation/Industry

Read More
Alberta Forest Service Museum
1176 SWITZER DRIVE
HINTON, Alberta T7V 1V3
Canada
https://www.hinton.ca/241/Attractions-Activities
(780) 865-8200

Notes/Details
Category : Cultural history: Community/Regional

Read More
Alberta Museums Association
SUITE 120, 12420.104 AVENUE NW
EDMONTON, Alberta T5N 3Z9
Canada
https://www.museums.ab.ca/
(780) 424-2626

Notes/Details
Category :

Read More
Alberta Railway Museum
24215 - 34 STREET
EDMONTON, Alberta T5Y 6B4
Canada
https://albertarailwaymuseum.com/
(780) 472-6229

Notes/Details
Category : Cultural history: Transportation/Industry

Read More
Alberta Sports Hall of Fame and Museum
# 102 - 4200 HIGHWAY 2, Red Deer, AlbertaT4N 1E3, Canada
RED DEER, Alberta T4N 1E3
Canada
https://www.albertasportshall.ca/
(403) 341-8614

Notes/Details
Category : Cultural history: Sports Museum/Hall of Fame

Read More
Alberta University of the Arts
1407 14 AVENUE NW
CALGARY, Alberta T2N 4R3
Canada
https://www.auarts.ca/
(403) 284-7600

Notes/Details
Category : Art gallery

Read More
Alberton Museum & Genealogy Center
457 CHURCH STREET
ALBERTON, Prince Edward Island C0B 1B0
Canada
https://www.tourismpei.com/search/OperatorDetails/name/AlbertonMuseumGenealogyCentre/op_id/4942/
(902) 853-4048

Notes/Details
Category :

Read More
Alert Bay Library-Museum
116 FIR STREET
ALERT BAY, British Columbia V0N 1A0
Canada
https://alertbay.bc.libraries.coop/
(250) 974-5721

Notes/Details
Category : Cultural history: Community/Regional Library and/or Archive

Read More"
Alberta Aviation Museum Association,https://www.albertaaviationmuseum.com/,"Alberta Aviation Museum Association
11410 KINGSWAY NW
EDMONTON, Alberta T5G 0X4
Canada
https://www.albertaaviationmuseum.com/
(780) 451-1175

Notes/Details
Category : Cultural history: Community/Regional Cultural history: Transportation/Industry

Read More"
Alberta Beach & District Museum and Archives,http://albertabeachmuseum.ca/,"Alberta Beach & District Museum and Archives
5000 47 AVENUE
ALBERTA BEACH, Alberta T0E 0A0
Canada
http://albertabeachmuseum.ca/
(780) 924-2140

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Alberta Central Railway Museum,https://abcentralrailway.com/,"Alberta Central Railway Museum
RANGE ROAD 234
WETASKIWIN COUNTY, Alberta T9A 1W9
Canada
https://abcentralrailway.com/
(780) 352-2257

Notes/Details
Category : Cultural history: Transportation/Industry

Read More"
Alberta Forest Service Museum,https://www.hinton.ca/241/Attractions-Activities,"Alberta Forest Service Museum
1176 SWITZER DRIVE
HINTON, Alberta T7V 1V3
Canada
https://www.hinton.ca/241/Attractions-Activities
(780) 865-8200

Notes/Details
Category : Cultural history: Community/Regional

Read More"
Alberta Museums Association,https://www.museums.ab.ca/,"Alberta Museums Association
SUITE 120, 12420.104 AVENUE NW
EDMONTON, Alberta T5N 3Z9
Canada
https://www.museums.ab.ca/
(780) 424-2626

Notes/Details
Category :

Read More"
Alberta Railway Museum,https://albertarailwaymuseum.com/,"Alberta Railway Museum
24215 - 34 STREET
EDMONTON, Alberta T5Y 6B4
Canada
https://albertarailwaymuseum.com/
(780) 472-6229

Notes/Details
Category : Cultural history: Transportation/Industry

Read More"
Alberta Sports Hall of Fame and Museum,https://www.albertasportshall.ca/,"Alberta Sports Hall of Fame and Museum
# 102 - 4200 HIGHWAY 2, Red Deer, AlbertaT4N 1E3, Canada
RED DEER, Alberta T4N 1E3
Canada
https://www.albertasportshall.ca/
(403) 341-8614

Notes/Details
Category : Cultural history: Sports Museum/Hall of Fame

Read More"
Alberta University of the Arts,https://www.auarts.ca/,"Alberta University of the Arts
1407 14 AVENUE NW
CALGARY, Alberta T2N 4R3
Canada
https://www.auarts.ca/
(403) 284-7600

Notes/Details
Category : Art gallery

Read More"
Alberton Museum & Genealogy Center,https://www.tourismpei.com/search/OperatorDetails/name/AlbertonMuseumGenealogyCentre/op_id/4942/,"Alberton Museum & Genealogy Center
457 CHURCH STREET
ALBERTON, Prince Edward Island C0B 1B0
Canada
https://www.tourismpei.com/search/OperatorDetails/name/AlbertonMuseumGenealogyCentre/op_id/4942/
(902) 853-4048

Notes/Details
Category :

Read More"
Alert Bay Library-Museum,https://alertbay.bc.libraries.coop/,"Alert Bay Library-Museum
116 FIR STREET
ALERT BAY, British Columbia V0N 1A0
Canada
https://alertbay.bc.libraries.coop/
(250) 974-5721

Notes/Details
Category : Cultural history: Community/Regional Library and/or Archive

Read More"
